filepath,label,class_name,filename
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_36_2_2021123008.npy_109.png,1,class 2,BR_13_14_36_2_2021123008.npy_109.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_36_2_2021123008.npy_80.png,1,class 2,BR_13_14_36_2_2021123008.npy_80.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_77_4_2021121608.npy_123.png,2,class 3,BR_13_14_77_4_2021121608.npy_123.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_38_2_22041908_1.npy_13.png,1,class 2,BR_13_14_38_2_22041908_1.npy_13.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_77_4_2021121608.npy_46.png,2,class 3,BR_13_14_77_4_2021121608.npy_46.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_33_2_2021122908.npy_99.png,1,class 2,BR_13_14_33_2_2021122908.npy_99.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_05_1_2022011207.npy_14.png,0,class 1,BR_13_14_05_1_2022011207.npy_14.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_07_1_2022011209.npy_101.png,0,class 1,BR_13_14_07_1_2022011209.npy_101.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_78_4_2021121708.npy_143.png,2,class 3,BR_13_14_78_4_2021121708.npy_143.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_33_2_2021122908.npy_144.png,1,class 2,BR_13_14_33_2_2021122908.npy_144.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_78_4_2021121708.npy_133.png,2,class 3,BR_13_14_78_4_2021121708.npy_133.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_38_2_22041908_1.npy_9.png,1,class 2,BR_13_14_38_2_22041908_1.npy_9.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_38_2_22041908_1.npy_62.png,1,class 2,BR_13_14_38_2_22041908_1.npy_62.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_04_1_2022011108.npy_110.png,0,class 1,BR_13_14_04_1_2022011108.npy_110.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_32_2_2021122907.npy_85.png,1,class 2,BR_13_14_32_2_2021122907.npy_85.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_77_4_2021121608.npy_85.png,2,class 3,BR_13_14_77_4_2021121608.npy_85.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_36_2_2021123008.npy_136.png,1,class 2,BR_13_14_36_2_2021123008.npy_136.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_36_2_2021123008.npy_10.png,1,class 2,BR_13_14_36_2_2021123008.npy_10.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_32_2_2021122907.npy_35.png,1,class 2,BR_13_14_32_2_2021122907.npy_35.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_02_1_2022011008.npy_69.png,0,class 1,BR_13_14_02_1_2022011008.npy_69.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_15_1_2022033107.npy_65.png,0,class 1,BR_13_14_15_1_2022033107.npy_65.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_20_1_2022040109.npy_109.png,0,class 1,BR_13_14_20_1_2022040109.npy_109.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_32_2_2021122907.npy_45.png,1,class 2,BR_13_14_32_2_2021122907.npy_45.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_36_2_2021123008.npy_11.png,1,class 2,BR_13_14_36_2_2021123008.npy_11.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_35_2_2021123007.npy_34.png,1,class 2,BR_13_14_35_2_2021123007.npy_34.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_08_1_2022032906.npy_112.png,0,class 1,BR_13_14_08_1_2022032906.npy_112.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_09_1_2022032907.npy_144.png,0,class 1,BR_13_14_09_1_2022032907.npy_144.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_04_1_2022011108.npy_109.png,0,class 1,BR_13_14_04_1_2022011108.npy_109.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_35_2_2021123007.npy_42.png,1,class 2,BR_13_14_35_2_2021123007.npy_42.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_38_2_22041908_1.npy_70.png,1,class 2,BR_13_14_38_2_22041908_1.npy_70.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_78_4_2021121708.npy_89.png,2,class 3,BR_13_14_78_4_2021121708.npy_89.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_78_4_2021121708.npy_138.png,2,class 3,BR_13_14_78_4_2021121708.npy_138.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_14_1_2022033106.npy_31.png,0,class 1,BR_13_14_14_1_2022033106.npy_31.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_11_1_2022032909.npy_19.png,0,class 1,BR_13_14_11_1_2022032909.npy_19.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_33_2_2021122908.npy_37.png,1,class 2,BR_13_14_33_2_2021122908.npy_37.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_03_1_2022011107.npy_140.png,0,class 1,BR_13_14_03_1_2022011107.npy_140.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_03_1_2022011107.npy_43.png,0,class 1,BR_13_14_03_1_2022011107.npy_43.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_22_1_2022040209.npy_117.png,0,class 1,BR_13_14_22_1_2022040209.npy_117.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_18_1_2022040107.npy_80.png,0,class 1,BR_13_14_18_1_2022040107.npy_80.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_38_2_22041908_1.npy_75.png,1,class 2,BR_13_14_38_2_22041908_1.npy_75.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_78_4_2021121708.npy_55.png,2,class 3,BR_13_14_78_4_2021121708.npy_55.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_33_2_2021122908.npy_21.png,1,class 2,BR_13_14_33_2_2021122908.npy_21.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_77_4_2021121608.npy_30.png,2,class 3,BR_13_14_77_4_2021121608.npy_30.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_09_1_2022032907.npy_140.png,0,class 1,BR_13_14_09_1_2022032907.npy_140.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_38_2_22041908_1.npy_27.png,1,class 2,BR_13_14_38_2_22041908_1.npy_27.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_09_1_2022032907.npy_130.png,0,class 1,BR_13_14_09_1_2022032907.npy_130.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_86_4_2022011708.npy_145.png,2,class 3,BR_13_14_86_4_2022011708.npy_145.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_38_2_22041908_1.npy_116.png,1,class 2,BR_13_14_38_2_22041908_1.npy_116.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_35_2_2021123007.npy_138.png,1,class 2,BR_13_14_35_2_2021123007.npy_138.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_12_1_2022033007.npy_34.png,0,class 1,BR_13_14_12_1_2022033007.npy_34.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_04_1_2022011108.npy_5.png,0,class 1,BR_13_14_04_1_2022011108.npy_5.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_77_4_2021121608.npy_115.png,2,class 3,BR_13_14_77_4_2021121608.npy_115.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_20_1_2022040109.npy_26.png,0,class 1,BR_13_14_20_1_2022040109.npy_26.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_33_2_2021122908.npy_110.png,1,class 2,BR_13_14_33_2_2021122908.npy_110.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_36_2_2021123008.npy_6.png,1,class 2,BR_13_14_36_2_2021123008.npy_6.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_38_2_22041908_1.npy_23.png,1,class 2,BR_13_14_38_2_22041908_1.npy_23.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_36_2_2021123008.npy_46.png,1,class 2,BR_13_14_36_2_2021123008.npy_46.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_21_1_2022040208.npy_34.png,0,class 1,BR_13_14_21_1_2022040208.npy_34.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_77_4_2021121608.npy_121.png,2,class 3,BR_13_14_77_4_2021121608.npy_121.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_33_2_2021122908.npy_9.png,1,class 2,BR_13_14_33_2_2021122908.npy_9.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_01_1_2022011007.npy_142.png,0,class 1,BR_13_14_01_1_2022011007.npy_142.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_14_1_2022033106.npy_95.png,0,class 1,BR_13_14_14_1_2022033106.npy_95.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_14_1_2022033106.npy_139.png,0,class 1,BR_13_14_14_1_2022033106.npy_139.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_20_1_2022040109.npy_51.png,0,class 1,BR_13_14_20_1_2022040109.npy_51.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_32_2_2021122907.npy_7.png,1,class 2,BR_13_14_32_2_2021122907.npy_7.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_10_1_2022032908.npy_7.png,0,class 1,BR_13_14_10_1_2022032908.npy_7.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_33_2_2021122908.npy_20.png,1,class 2,BR_13_14_33_2_2021122908.npy_20.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_14_1_2022033106.npy_65.png,0,class 1,BR_13_14_14_1_2022033106.npy_65.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_78_4_2021121708.npy_17.png,2,class 3,BR_13_14_78_4_2021121708.npy_17.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_33_2_2021122908.npy_98.png,1,class 2,BR_13_14_33_2_2021122908.npy_98.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_03_1_2022011107.npy_46.png,0,class 1,BR_13_14_03_1_2022011107.npy_46.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_19_1_2022040108.npy_13.png,0,class 1,BR_13_14_19_1_2022040108.npy_13.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_75_4_2021121508.npy_109.png,2,class 3,BR_13_14_75_4_2021121508.npy_109.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_18_1_2022040107.npy_99.png,0,class 1,BR_13_14_18_1_2022040107.npy_99.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_32_2_2021122907.npy_113.png,1,class 2,BR_13_14_32_2_2021122907.npy_113.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_14_1_2022033106.npy_63.png,0,class 1,BR_13_14_14_1_2022033106.npy_63.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_08_1_2022032906.npy_77.png,0,class 1,BR_13_14_08_1_2022032906.npy_77.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_07_1_2022011209.npy_53.png,0,class 1,BR_13_14_07_1_2022011209.npy_53.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_77_4_2021121608.npy_58.png,2,class 3,BR_13_14_77_4_2021121608.npy_58.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_38_2_22041908_1.npy_45.png,1,class 2,BR_13_14_38_2_22041908_1.npy_45.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_36_2_2021123008.npy_141.png,1,class 2,BR_13_14_36_2_2021123008.npy_141.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_77_4_2021121608.npy_40.png,2,class 3,BR_13_14_77_4_2021121608.npy_40.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_01_1_2022011007.npy_17.png,0,class 1,BR_13_14_01_1_2022011007.npy_17.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_32_2_2021122907.npy_98.png,1,class 2,BR_13_14_32_2_2021122907.npy_98.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_38_2_22041908_1.npy_19.png,1,class 2,BR_13_14_38_2_22041908_1.npy_19.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_38_2_22041908_1.npy_93.png,1,class 2,BR_13_14_38_2_22041908_1.npy_93.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_82_4_2021122108.npy_33.png,2,class 3,BR_13_14_82_4_2021122108.npy_33.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_35_2_2021123007.npy_28.png,1,class 2,BR_13_14_35_2_2021123007.npy_28.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_14_1_2022033106.npy_137.png,0,class 1,BR_13_14_14_1_2022033106.npy_137.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_35_2_2021123007.npy_99.png,1,class 2,BR_13_14_35_2_2021123007.npy_99.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_11_1_2022032909.npy_26.png,0,class 1,BR_13_14_11_1_2022032909.npy_26.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_32_2_2021122907.npy_146.png,1,class 2,BR_13_14_32_2_2021122907.npy_146.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_32_2_2021122907.npy_65.png,1,class 2,BR_13_14_32_2_2021122907.npy_65.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_38_2_22041908_1.npy_100.png,1,class 2,BR_13_14_38_2_22041908_1.npy_100.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_20_1_2022040109.npy_80.png,0,class 1,BR_13_14_20_1_2022040109.npy_80.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_33_2_2021122908.npy_80.png,1,class 2,BR_13_14_33_2_2021122908.npy_80.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_35_2_2021123007.npy_90.png,1,class 2,BR_13_14_35_2_2021123007.npy_90.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_36_2_2021123008.npy_28.png,1,class 2,BR_13_14_36_2_2021123008.npy_28.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_32_2_2021122907.npy_81.png,1,class 2,BR_13_14_32_2_2021122907.npy_81.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_78_4_2021121708.npy_61.png,2,class 3,BR_13_14_78_4_2021121708.npy_61.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_35_2_2021123007.npy_148.png,1,class 2,BR_13_14_35_2_2021123007.npy_148.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_03_1_2022011107.npy_17.png,0,class 1,BR_13_14_03_1_2022011107.npy_17.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_32_2_2021122907.npy_31.png,1,class 2,BR_13_14_32_2_2021122907.npy_31.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_78_4_2021121708.npy_62.png,2,class 3,BR_13_14_78_4_2021121708.npy_62.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_18_1_2022040107.npy_32.png,0,class 1,BR_13_14_18_1_2022040107.npy_32.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_32_2_2021122907.npy_74.png,1,class 2,BR_13_14_32_2_2021122907.npy_74.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_35_2_2021123007.npy_73.png,1,class 2,BR_13_14_35_2_2021123007.npy_73.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_08_1_2022032906.npy_139.png,0,class 1,BR_13_14_08_1_2022032906.npy_139.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_78_4_2021121708.npy_91.png,2,class 3,BR_13_14_78_4_2021121708.npy_91.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_08_1_2022032906.npy_113.png,0,class 1,BR_13_14_08_1_2022032906.npy_113.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_36_2_2021123008.npy_2.png,1,class 2,BR_13_14_36_2_2021123008.npy_2.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_01_1_2022011007.npy_63.png,0,class 1,BR_13_14_01_1_2022011007.npy_63.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_35_2_2021123007.npy_142.png,1,class 2,BR_13_14_35_2_2021123007.npy_142.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_09_1_2022032907.npy_107.png,0,class 1,BR_13_14_09_1_2022032907.npy_107.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_18_1_2022040107.npy_35.png,0,class 1,BR_13_14_18_1_2022040107.npy_35.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_32_2_2021122907.npy_73.png,1,class 2,BR_13_14_32_2_2021122907.npy_73.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_87_4_2022011808.npy_18.png,2,class 3,BR_13_14_87_4_2022011808.npy_18.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_35_2_2021123007.npy_4.png,1,class 2,BR_13_14_35_2_2021123007.npy_4.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_35_2_2021123007.npy_50.png,1,class 2,BR_13_14_35_2_2021123007.npy_50.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_38_2_22041908_1.npy_51.png,1,class 2,BR_13_14_38_2_22041908_1.npy_51.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_11_1_2022032909.npy_95.png,0,class 1,BR_13_14_11_1_2022032909.npy_95.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_15_1_2022033107.npy_45.png,0,class 1,BR_13_14_15_1_2022033107.npy_45.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_35_2_2021123007.npy_69.png,1,class 2,BR_13_14_35_2_2021123007.npy_69.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_77_4_2021121608.npy_41.png,2,class 3,BR_13_14_77_4_2021121608.npy_41.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_08_1_2022032906.npy_72.png,0,class 1,BR_13_14_08_1_2022032906.npy_72.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_32_2_2021122907.npy_139.png,1,class 2,BR_13_14_32_2_2021122907.npy_139.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_38_2_22041908_1.npy_120.png,1,class 2,BR_13_14_38_2_22041908_1.npy_120.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_38_2_22041908_1.npy_34.png,1,class 2,BR_13_14_38_2_22041908_1.npy_34.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_38_2_22041908_1.npy_110.png,1,class 2,BR_13_14_38_2_22041908_1.npy_110.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_74_4_2021121507.npy_30.png,2,class 3,BR_13_14_74_4_2021121507.npy_30.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_33_2_2021122908.npy_145.png,1,class 2,BR_13_14_33_2_2021122908.npy_145.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_35_2_2021123007.npy_107.png,1,class 2,BR_13_14_35_2_2021123007.npy_107.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_13_1_2022033008.npy_80.png,0,class 1,BR_13_14_13_1_2022033008.npy_80.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_33_2_2021122908.npy_113.png,1,class 2,BR_13_14_33_2_2021122908.npy_113.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 1\BR_13_14_18_1_2022040107.npy_53.png,0,class 1,BR_13_14_18_1_2022040107.npy_53.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 3\BR_13_14_82_4_2021122108.npy_91.png,2,class 3,BR_13_14_82_4_2021122108.npy_91.png
C:\Users\sammy\Exam3Ex3\vir_data_exam\train\class 2\BR_13_14_32_2_2021122907.npy_119.png,1,class 2,BR_13_14_32_2_2021122907.npy_119.png
